model,target,horizon,rmse,mae,mape
ARIMA,cpi,1,1.0688332586980276,0.8408611211078155,21.134815378930004
XGBoost,cpi,1,1.5441359471684732,1.0869099049341113,26.398949527573972
NeuralNet,cpi,1,3.7732031658926264,3.4050780523390993,76.61282133763511
ARIMA,cpi,3,1.864807892611307,1.4505529049087433,34.02442458925371
XGBoost,cpi,3,2.5395029796919477,2.002314605210957,61.21736119605359
NeuralNet,cpi,3,2.7701753167059064,2.240333060214394,49.17794316195428
NeuralNet,cpi,6,0.9146678069516669,0.6655106410384178,20.740654096501398
XGBoost,cpi,6,3.061325269022509,2.894557435810566,108.18052430216918
ARIMA,cpi,6,3.3852315360666325,2.8025208044999563,79.45424968573765
ARIMA,gdp,1,0.18353964944303844,0.1513968406560014,208.34443611884797
XGBoost,gdp,1,0.3132158539122713,0.24905572396002076,147.16917248702055
NeuralNet,gdp,1,0.32215780116803994,0.27970527882762763,444.05673826976874
NeuralNet,gdp,3,0.2553692786763906,0.21285883880198478,372.7229946379212
ARIMA,gdp,3,0.5064825929130891,0.42038175877894157,394.9671266190271
XGBoost,gdp,3,5.418097768267571,3.5813779606185623,2910.021647344785
NeuralNet,gdp,6,0.4886476060859369,0.42257057662531694,407.3309444166835
ARIMA,gdp,6,0.6975569817602737,0.6613967673501606,587.5101839393474
XGBoost,gdp,6,3.4270322988248587,2.267668505940942,2071.962443081275
