date,actual,ARIMA_pred,XGBoost_pred,NeuralNet_pred
2023-01-01,10.4,10.847422169839723,9.360172,1.1617267
2023-02-01,10.1,10.162261217019402,9.29027,0.058321387
2023-03-01,8.7,10.426514905990121,8.463388,-0.24520038
2023-04-01,8.7,9.560818856158122,8.522192,-0.25112474
2023-05-01,7.9,8.774672120217032,8.667827,-0.40555447
2023-06-01,6.7,8.643772835272175,9.052613,-0.5456497
2023-08-01,6.7,7.655135251064027,9.5214405,-0.6256828
2023-09-01,4.6,6.372042446408182,9.550036,-0.7440171
2023-10-01,3.9,6.458366561409814,4.6337423,-0.5412608
2023-11-01,4.0,3.2688229849569246,2.7427745,-0.501534
2023-12-01,4.0,3.3438732562014035,2.376929,-0.57742935
2024-01-01,3.4,3.6229355459788852,2.3705132,-0.62122923
2024-02-01,3.2,3.8264090866063922,2.335349,-0.5780892
2024-03-01,2.3,2.8038840974242922,2.4369376,-0.5667557
2024-04-01,2.0,2.8746955489654695,2.421921,-0.5275478
2024-05-01,2.2,2.0649559657353276,2.2965534,-0.50953394
2024-07-01,2.2,1.4964746345462547,2.3485522,-0.6212148
2024-08-01,1.7,2.1223034922696282,2.4835498,-0.5520416
2024-09-01,2.3,2.273037534553366,1.3802485,-0.6033862
2024-10-01,2.6,1.2763331263428828,1.6266861,-0.59800047
2024-11-01,2.5,2.730346910977024,1.8195422,-0.5588673
