date,actual,ARIMA_pred,XGBoost_pred,NeuralNet_pred
2023-01-01,-0.12460533149432225,-0.4956551709717053,0.48989975,1.1281399
2023-02-01,-0.1,-0.41191936362488496,0.43596098,1.3798676
2023-03-01,-0.01036427941529798,-0.42704431415834476,0.43840754,1.4298294
2023-04-01,0.13333773875285526,-0.4387194169482323,0.44020018,1.3048164
2023-05-01,0.3,-0.31285607926584785,0.41816086,1.4152945
2023-06-01,0.4758614478295887,-0.28632600797614904,0.48280013,1.354915
2023-08-01,0.6219698055385144,-0.23183556727589547,5.960111,1.4102608
2023-09-01,0.7,-0.062028155572605964,5.960111,1.3855428
2023-10-01,0.6970116895306443,-0.5111547500214709,5.960111,1.0560485
2023-11-01,0.6237333986724228,-0.21967049325022234,0.44848618,0.9662965
2023-12-01,0.35775203373424525,-0.19210748769286076,0.43513954,0.99362296
2024-01-01,0.21380223731351522,-0.5785507045768219,0.46940038,0.9031672
2024-02-01,0.1,-0.5930621945071484,0.41563517,0.9118214
2024-03-01,0.0443360744584002,-0.3751705883195954,5.960111,0.7120511
2024-04-01,0.06972107175259859,-0.5208590044598642,5.960111,0.63226926
2024-05-01,0.2,-0.6228491966766273,5.960111,0.6141297
